writer;words_infered_fromtext;num_words_infered_fromtext;total_words_infered_fromtext;total_words_cropped
CF00001;[as,de,Bob,Dr.,Soube,do,Sou,com,Alves,e,dois,300,exerci,V.,Sas.,159,local,Na,esta,a,18,87,curso,um,me,Curso,De];27;67;441
CF00002;[a,local,Sas.,18,De,87,Dr.,e,V.,Pessoal,Ap.];11;15;417
CF00003;[de,a,um,Grant,do,esta,anos,com,Municipal,as,dois,Rayon,onde,uma,159,Quintas,pela,Alves,300,expectativa,me,87,Ap.];23;36;399
CF00004;[de,as,me,a,Nova,um,do,300,local,na,onde,De];12;57;412
CF00005;[as,a,Na,de,Yolanda,cordiais,me,do,com,300,De,Soube,local,portanto,Rua,anos,e,onde,Bob,pela,dois];21;61;409
CF00006;[me,a,de,lhes,e,do,com,300,pela,Ap.,anos,uma,Sas.,que,dois];15;46;389
CF00007;[de,159,a,dois,um,Dr.,Bob,que,do,as,-me,me,Ap.,onde];14;44;370
CF00008;[a,-me,do,de,um,as,De,Dr.,Bob,com];10;24;336
CF00009;[me,a,De,300,Ap.,159,as,com];8;24;483
CF00010;[De,Bob,300,um,de,me,18,87,com,Soube,dois];11;35;460
CF00011;[me,a,nas,as,onde,de,na,159,Na,do,Sou,Pessoal,300,com,De,dois,Dr.,local,Rua,Para,Soube];21;69;547
CF00012;[de,dois,a,Bob,De,300,do,Ap.,me,87,e,Soube,um,portanto,anos,Alves,Sou,Rayon];18;69;496
CF00013;[a,De,as,300,na,159,-];7;33;714
CF00014;[Rayon,dois,as,a,me,de,159,Soube,do,Ap.,De,300,e,Sou,com,lhes,Dr.,necessitam];18;50;472
CF00015;[Ap.,as,um,Na,Dr.,a,Rua,Sou,De,do,me,de,Kirt,Alves,onde,Bob,e];17;30;475
CF00016;[87,a,De];3;4;187
CF00017;[300,as,de,me,a,um,uma,159,Para,Bob,local,do,vaga,com,onde,De,Rua,para,quando,e,pela,na,Pessoal,18,lhes,esta];26;87;423
CF00018;[de,a,e,159,Soube,do,me,esta,curso,com,Lojas,dois,onde,as,para,Pessoal,18,300,anos];19;87;433
CF00019;[me,a,para,um,de,uma,do,Sou,com,Ap.,Rua,nas,Rayon,onde,as,pela,que,na,S.A.,local,esta,Alves];22;69;397
CF00020;[159,Dr.,De,87,a,18,-,Nova,Na];9;17;497
CF00021;[de,as,a,me,uma,Rua,do,Pessoal,esta,com,159,para,na,Para,Bob,pela,Ap.,18,Rayon,onde,De,anos,um,300];24;89;462
CF00022;[de,Dr.,do,a,18,Alves,Grant,Soube,as,Rua];10;37;360
CF00023;[300,de,um,que,do,a,anos,87,dois,local,Contabilidade,as,pela,esta];14;57;386
CF00024;[de,a,um,Soube,me,do,300,as,159,local,Ap.,De,Municipal];13;46;388
CF00025;[me,de,lhes,Soube,do,a,Ap.,as,300,local,anos];11;41;405
CF00026;[300,a,me,local,de,com,do,onde,uma,Dr.,Bob,Soube,pela,Escola,Rayon,De,quando,Pessoal,Sou,Ap.];20;55;434
CF00027;[exerci,de,300,um,Soube,as,do,a,com,Alves,e,dois,159,Bob,local,Pessoal,me,possuo,87,onde,V.,De,curso];23;69;437
CF00028;[a,do,e,dois,exerci,V.,me,de,Sou,De,as,300,na,-,Pessoal,Soube];16;73;581
